,timestamp_mdf,GPS_Week,GPS_Seconds,Latitude_deg,Longitude_deg,Height_m,Undulation_m,North_Velocity_m_invert_s,East_Velocity_m_invert_s,Up_Velocity_m_invert_s,Roll_deg,Pitch_deg,Azimuth_deg,INS_Status,Latitude_Sigma,Longitude_Sigma,Height_Sigma,North_Vel_Sigma,East_Vel_Sigma,Up_Vel_Sigma,Roll_Sigma,Pitch_Sigma,Azimuth_Sigma
188,1645015684849577.8,,,,,,,,,,,,,,,,,,,,,,
189,1645015684859383.8,,,,,,,,,,,,,,,,,,,,,,
190,1645015684869445.0,,,,,,,,,,,,,,,,,,,,,,
191,1645015684879507.0,,,,,,,,,,,,,,,,,,,,,,
192,1645015684889402.8,,,,,,,,,,,,,,,,,,,,,,
193,1645015684899472.8,,,,,,,,,,,,,,,,,,,,,,
194,1645015684909628.0,,,,,,,,,,,,,,,,,,,,,,
195,1645015684919551.8,,,,,,,,,,,,,,,,,,,,,,
196,1645015684929472.8,,,,,,,,,,,,,,,,,,,,,,
197,1645015684939475.0,,,,,,,,,,,,,,,,,,,,,,
198,1645015684949426.0,,,,,,,,,,,,,,,,,,,,,,
199,1645015684959447.0,,,,,,,,,,,,,,,,,,,,,,
200,1645015684969586.2,,,,,,,,,,,,,,,,,,,,,,
201,1645015684979364.0,,,,,,,,,,,,,,,,,,,,,,
202,1645015684990426.0,,,,,,,,,,,,,,,,,,,,,,
203,1645015684999526.5,,,,,,,,,,,,,,,,,,,,,,
204,1645015685009397.5,,,,,,,,,,,,,,,,,,,,,,
205,1645015685019452.2,,,,,,,,,,,,,,,,,,,,,,
206,1645015685029443.0,,,,,,,,,,,,,,,,,,,,,,
207,1645015685039370.0,,,,,,,,,,,,,,,,,,,,,,
208,1645015685049433.5,,,,,,,,,,,,,,,,,,,,,,
209,1645015685059625.8,,,,,,,,,,,,,,,,,,,,,,
210,1645015685069337.0,,,,,,,,,,,,,,,,,,,,,,
211,1645015685080579.8,,,,,,,,,,,,,,,,,,,,,,
212,1645015685089346.2,,,,,,,,,,,,,,,,,,,,,,
213,1645015685099392.5,,,,,,,,,,,,,,,,,,,,,,
214,1645015685109410.5,,,,,,,,,,,,,,,,,,,,,,
215,1645015685119570.2,,,,,,,,,,,,,,,,,,,,,,
216,1645015685129373.2,,,,,,,,,,,,,,,,,,,,,,
217,1645015685139419.8,,,,,,,,,,,,,,,,,,,,,,
218,1645015685149360.8,,,,,,,,,,,,,,,,,,,,,,
219,1645015685159827.8,,,,,,,,,,,,,,,,,,,,,,
220,1645015685169407.2,,,,,,,,,,,,,,,,,,,,,,
221,1645015685179516.0,,,,,,,,,,,,,,,,,,,,,,
222,1645015685189348.8,,,,,,,,,,,,,,,,,,,,,,
223,1645015685199397.0,,,,,,,,,,,,,,,,,,,,,,
224,1645015685209483.0,,,,,,,,,,,,,,,,,,,,,,
225,1645015685219386.2,,,,,,,,,,,,,,,,,,,,,,
226,1645015685229432.8,,,,,,,,,,,,,,,,,,,,,,
227,1645015685239486.0,,,,,,,,,,,,,,,,,,,,,,
228,1645015685249402.2,,,,,,,,,,,,,,,,,,,,,,
229,1645015685259727.0,,,,,,,,,,,,,,,,,,,,,,
230,1645015685269386.0,,,,,,,,,,,,,,,,,,,,,,
231,1645015685279394.0,,,,,,,,,,,,,,,,,,,,,,
232,1645015685289512.0,,,,,,,,,,,,,,,,,,,,,,
233,1645015685299862.0,,,,,,,,,,,,,,,,,,,,,,
234,1645015685309369.8,,,,,,,,,,,,,,,,,,,,,,
235,1645015685319411.2,,,,,,,,,,,,,,,,,,,,,,
236,1645015685329393.8,,,,,,,,,,,,,,,,,,,,,,
237,1645015685361859.5,,,,,,,,,,,,,,,,,,,,,,
238,1645015685363670.5,,,,,,,,,,,,,,,,,,,,,,
239,1645015685377460.2,,,,,,,,,,,,,,,,,,,,,,
240,1645015685378413.8,,,,,,,,,,,,,,,,,,,,,,
241,1645015685379314.8,,,,,,,,,,,,,,,,,,,,,,
242,1645015685380128.8,,,,,,,,,,,,,,,,,,,,,,
243,1645015685389562.8,,,,,,,,,,,,,,,,,,,,,,
244,1645015685399514.5,,,,,,,,,,,,,,,,,,,,,,
245,1645015685414796.5,,,,,,,,,,,,,,,,,,,,,,
246,1645015685419641.2,,,,,,,,,,,,,,,,,,,,,,
247,1645015685429528.2,,,,,,,,,,,,,,,,,,,,,,
248,1645015685440510.8,,,,,,,,,,,,,,,,,,,,,,
249,1645015685449445.0,,,,,,,,,,,,,,,,,,,,,,
250,1645015685459428.8,,,,,,,,,,,,,,,,,,,,,,
251,1645015685469414.5,,,,,,,,,,,,,,,,,,,,,,
252,1645015685479442.0,,,,,,,,,,,,,,,,,,,,,,
253,1645015685489443.2,,,,,,,,,,,,,,,,,,,,,,
254,1645015685499355.0,,,,,,,,,,,,,,,,,,,,,,
255,1645015685509526.5,,,,,,,,,,,,,,,,,,,,,,
256,1645015685519432.0,,,,,,,,,,,,,,,,,,,,,,
257,1645015685529355.5,,,,,,,,,,,,,,,,,,,,,,
258,1645015685539615.8,,,,,,,,,,,,,,,,,,,,,,
259,1645015685549377.2,,,,,,,,,,,,,,,,,,,,,,
260,1645015685559394.2,,,,,,,,,,,,,,,,,,,,,,
261,1645015685569419.0,,,,,,,,,,,,,,,,,,,,,,
262,1645015685579400.2,,,,,,,,,,,,,,,,,,,,,,
263,1645015685589474.0,,,,,,,,,,,,,,,,,,,,,,
264,1645015685599465.8,,,,,,,,,,,,,,,,,,,,,,
265,1645015685609367.0,,,,,,,,,,,,,,,,,,,,,,
266,1645015685619341.2,,,,,,,,,,,,,,,,,,,,,,
267,1645015685629397.2,,,,,,,,,,,,,,,,,,,,,,
268,1645015685639444.2,,,,,,,,,,,,,,,,,,,,,,
269,1645015685649391.8,,,,,,,,,,,,,,,,,,,,,,
270,1645015685659538.5,,,,,,,,,,,,,,,,,,,,,,
271,1645015685669423.5,,,,,,,,,,,,,,,,,,,,,,
272,1645015685679377.2,,,,,,,,,,,,,,,,,,,,,,
273,1645015685689423.5,,,,,,,,,,,,,,,,,,,,,,
274,1645015685699466.2,,,,,,,,,,,,,,,,,,,,,,
275,1645015685709406.0,,,,,,,,,,,,,,,,,,,,,,
276,1645015685719453.0,,,,,,,,,,,,,,,,,,,,,,
277,1645015685729395.0,,,,,,,,,,,,,,,,,,,,,,
278,1645015685739955.0,,,,,,,,,,,,,,,,,,,,,,
279,1645015685749444.8,,,,,,,,,,,,,,,,,,,,,,
280,1645015685759497.2,,,,,,,,,,,,,,,,,,,,,,
281,1645015685769389.2,,,,,,,,,,,,,,,,,,,,,,
282,1645015685779379.0,,,,,,,,,,,,,,,,,,,,,,
283,1645015685789541.5,,,,,,,,,,,,,,,,,,,,,,
284,1645015685799357.5,,,,,,,,,,,,,,,,,,,,,,
285,1645015685809465.0,,,,,,,,,,,,,,,,,,,,,,
286,1645015685819441.5,,,,,,,,,,,,,,,,,,,,,,
287,1645015685829393.8,,,,,,,,,,,,,,,,,,,,,,
288,1645015685839488.0,,,,,,,,,,,,,,,,,,,,,,
289,1645015685849566.2,,,,,,,,,,,,,,,,,,,,,,
290,1645015685859372.8,,,,,,,,,,,,,,,,,,,,,,
291,1645015685869359.2,,,,,,,,,,,,,,,,,,,,,,
292,1645015685879561.8,,,,,,,,,,,,,,,,,,,,,,
293,1645015685889358.2,,,,,,,,,,,,,,,,,,,,,,
294,1645015685899357.2,,,,,,,,,,,,,,,,,,,,,,
295,1645015685909585.2,,,,,,,,,,,,,,,,,,,,,,
296,1645015685919424.2,,,,,,,,,,,,,,,,,,,,,,
297,1645015685929445.5,,,,,,,,,,,,,,,,,,,,,,
